food_name,calories,healthy_substitute,calories_saved,taste_rating,meal_type,goal,best_time,store_brand,sugar_g,fat_g,carbs_g,protein_g,risky_for,serving_size,food_category
Dal Tadka,210,Moong Dal Plain,60.0,8.2,Lunch,Balanced,Before 3PM,Homemade,2,8,18,11,—,1 bowl (~200g),Indian Main Dish
Baingan Bharta,180,Grilled Eggplant Mash,40.0,7.5,Dinner,Weight Loss,Anytime,Homemade,3,7,15,4,—,1 bowl (~150g),Indian Main Dish
Veg Pulao,380,Brown Rice Veg Bowl,90.0,7.8,Lunch,Weight Loss,Before 2PM,D-Mart,4,15,52,6,"High_BP, Obesity",1 bowl (~250g),Rice-Based
Matar Paneer,430,Tofu + Peas Curry,130.0,7.9,Lunch,Balanced,Before 8PM,Homemade,6,28,16,14,"High_BP, Obesity",1 bowl (~200g),Indian Main Dish
Kaju Curry,520,Makhana Curry,160.0,6.5,Dinner,Balanced,Before 7PM,Restaurant,6,38,20,9,"Obesity, High_BP",1 bowl (~200g),Indian Main Dish
Veg Fried Rice,440,Quinoa Stir Fry,130.0,8.0,Lunch,Balanced,Before 2PM,Homemade,3,20,50,8,High_BP,1 bowl (~250g),Rice-Based
Dahi Bhalla,350,Moong Dal Dhokla,150.0,7.4,Snack,Weight Loss,Before 5PM,Street Vendor,12,10,34,6,"Diabetes, Obesity",2 pcs (~150g),Snack
Onion Pakora,360,Baked Veg Cutlet,110.0,7.2,Snack,Balanced,Before 6PM,Local Vendor,1,22,30,5,"Obesity, High_BP",5 pcs (~150g),Fried/Junk
Sev Puri,320,Sprout Chaat,100.0,7.0,Snack,Weight Loss,Before 5PM,Street Vendor,6,14,40,5,"Diabetes, Obesity",1 plate (~120g),Snack
Veg Puff,280,Baked Beetroot Patty,110.0,7.3,Snack,Balanced,Before 5PM,Local Bakery,3,18,28,4,Obesity,1 piece (~100g),Snack
Chocolate Milkshake,340,Low-Fat Cocoa Smoothie,160.0,7.0,Beverage,Weight Loss,Before 5PM,Amul,38,12,42,6,"Diabetes, Obesity",1 glass (~250ml),Beverage
Jaljeera Soda,60,Lemon Mint Water,30.0,8.0,Beverage,Weight Loss,Anytime,Homemade,2,0,10,0,—,1 glass (~250ml),Beverage
Banana Smoothie,240,Unsweetened Almond Shake,100.0,7.2,Beverage,Balanced,Before 11AM,Homemade,22,6,32,5,Diabetes,1 glass (~250ml),Beverage
White Bread Sandwich,350,Brown Bread Sandwich,100.0,7.5,Snack,Weight Loss,Before 6PM,Britannia,5,15,40,8,Obesity,2 slices (~160g),Snack
